sex,region,year,births
Женщины,Чеченская Республика,2017,15249
Женщины,Чеченская Республика,2018,14465
Женщины,Чеченская Республика,2019,14366
Женщины,Чеченская Республика,2020,14406
Женщины,Ставропольский край,2015,17681
Женщины,Ставропольский край,2016,17735
Женщины,Ставропольский край,2017,15560
Женщины,Ставропольский край,2018,14863
Женщины,Ставропольский край,2019,13561
Женщины,Ставропольский край,2020,13368
Женщины,Республика Башкортостан,2015,28521
Женщины,Республика Башкортостан,2016,26955
Женщины,Республика Башкортостан,2017,23832
Женщины,Республика Башкортостан,2018,22771
Женщины,Республика Башкортостан,2019,20241
Женщины,Республика Башкортостан,2020,19858
Женщины,Республика Марий Эл,2015,4821
Женщины,Республика Марий Эл,2016,4707
Женщины,Республика Марий Эл,2017,4013
Женщины,Республика Марий Эл,2018,3655
Женщины,Республика Марий Эл,2019,3214
Женщины,Республика Марий Эл,2020,3303
Женщины,Республика Мордовия,2015,3822
Женщины,Республика Мордовия,2016,3927
Женщины,Республика Мордовия,2017,3303
Женщины,Республика Мордовия,2018,3218
Женщины,Республика Мордовия,2019,2871
Женщины,Республика Мордовия,2020,2706
Женщины,Республика Татарстан,2015,27592
Женщины,Республика Татарстан,2016,26838
Женщины,Республика Татарстан,2017,23510
Женщины,Республика Татарстан,2018,22571
Женщины,Республика Татарстан,2019,20807
Женщины,Республика Татарстан,2020,20167
Женщины,Удмуртская Республика,2015,10733
Женщины,Удмуртская Республика,2016,10300
Женщины,Удмуртская Республика,2017,8595
Женщины,Удмуртская Республика,2018,8065
Женщины,Удмуртская Республика,2019,7120
Женщины,Удмуртская Республика,2020,7042
Женщины,Чувашская Республика,2015,8261
Женщины,Чувашская Республика,2016,7866
Женщины,Чувашская Республика,2017,6825
Женщины,Чувашская Республика,2018,6332
Женщины,Чувашская Республика,2019,5649
Женщины,Чувашская Республика,2020,5527
Женщины,Пермский край,2015,18837
Женщины,Пермский край,2016,18176
Женщины,Пермский край,2017,15612
Женщины,Пермский край,2018,14440
Женщины,Пермский край,2019,12974
Женщины,Пермский край,2020,12576
Женщины,Кировская область,2015,8076
Женщины,Кировская область,2016,7986
Женщины,Кировская область,2017,6647
Женщины,Кировская область,2018,6132
Женщины,Кировская область,2019,5531
Женщины,Кировская область,2020,5097
Женщины,Нижегородская область,2015,19400
Женщины,Нижегородская область,2016,18733
Женщины,Нижегородская область,2017,16513
Женщины,Нижегородская область,2018,15321
Женщины,Нижегородская область,2019,14027
Женщины,Нижегородская область,2020,13355
Женщины,Оренбургская область,2015,13627
Женщины,Оренбургская область,2016,12983
Женщины,Оренбургская область,2017,11118
Женщины,Оренбургская область,2018,10458
Женщины,Оренбургская область,2019,9498
Женщины,Оренбургская область,2020,9014
Женщины,Пензенская область,2015,7023
Женщины,Пензенская область,2016,6783
Женщины,Пензенская область,2017,5766
Женщины,Пензенская область,2018,5634
Женщины,Пензенская область,2019,5005
Женщины,Пензенская область,2020,4712
Женщины,Самарская область,2015,19729
Женщины,Самарская область,2016,19585
Женщины,Самарская область,2017,16709
Женщины,Самарская область,2018,16197
Женщины,Самарская область,2019,14270
