sex,region,year,births
Оба пола,Республика Тыва,2020,6654
Оба пола,Республика Хакасия,2015,7872
Оба пола,Республика Хакасия,2016,7597
Оба пола,Республика Хакасия,2017,6667
Оба пола,Республика Хакасия,2018,6207
Оба пола,Республика Хакасия,2019,5568
Оба пола,Республика Хакасия,2020,5366
Оба пола,Алтайский край,2015,30080
Оба пола,Алтайский край,2016,28734
Оба пола,Алтайский край,2017,25556
Оба пола,Алтайский край,2018,23408
Оба пола,Алтайский край,2019,21085
Оба пола,Алтайский край,2020,19840
Оба пола,Красноярский край,2015,41186
Оба пола,Красноярский край,2016,39828
Оба пола,Красноярский край,2017,35562
Оба пола,Красноярский край,2018,33527
Оба пола,Красноярский край,2019,30143
Оба пола,Красноярский край,2020,28998
Оба пола,Иркутская область,2015,36904
Оба пола,Иркутская область,2016,35579
Оба пола,Иркутская область,2017,32253
Оба пола,Иркутская область,2018,30847
Оба пола,Иркутская область,2019,28258
Оба пола,Иркутская область,2020,26948
Оба пола,Кемеровская область — Кузбасс,2015,33933
Оба пола,Кемеровская область — Кузбасс,2016,32704
Оба пола,Кемеровская область — Кузбасс,2017,28314
Оба пола,Кемеровская область — Кузбасс,2018,26540
Оба пола,Кемеровская область — Кузбасс,2019,23989
Оба пола,Кемеровская область — Кузбасс,2020,22601
Оба пола,Новосибирская область,2015,39078
Оба пола,Новосибирская область,2016,38185
Оба пола,Новосибирская область,2017,34448
Оба пола,Новосибирская область,2018,32673
Оба пола,Новосибирская область,2019,30023
Оба пола,Новосибирская область,2020,28859
Оба пола,Омская область,2015,28526
Оба пола,Омская область,2016,26310
Оба пола,Омская область,2017,22606
Оба пола,Омская область,2018,21314
Оба пола,Омская область,2019,19031
Оба пола,Омская область,2020,17882
Оба пола,Томская область,2015,14614
Оба пола,Томская область,2016,14206
Оба пола,Томская область,2017,12830
Оба пола,Томская область,2018,11785
Оба пола,Томская область,2019,10704
Оба пола,Томская область,2020,9928
Оба пола,Республика Бурятия,2015,16937
Оба пола,Республика Бурятия,2016,16109
Оба пола,Республика Бурятия,2017,14296
Оба пола,Республика Бурятия,2018,13909
Оба пола,Республика Бурятия,2019,12471
Оба пола,Республика Бурятия,2020,12682
Оба пола,Забайкальский край,2015,16744
Оба пола,Забайкальский край,2016,15763
Оба пола,Забайкальский край,2017,14382
Оба пола,Забайкальский край,2018,13546
Оба пола,Забайкальский край,2019,12547
Оба пола,Забайкальский край,2020,12435
Оба пола,Республика Саха (Якутия),2015,16345
Оба пола,Республика Саха (Якутия),2016,15352
Оба пола,Республика Саха (Якутия),2017,13996
Оба пола,Республика Саха (Якутия),2018,13191
Оба пола,Республика Саха (Якутия),2019,12817
Оба пола,Республика Саха (Якутия),2020,13097
Оба пола,Камчатский край,2015,4150
Оба пола,Камчатский край,2016,4057
Оба пола,Камчатский край,2017,3752
Оба пола,Камчатский край,2018,3417
Оба пола,Камчатский край,2019,3308
Оба пола,Камчатский край,2020,3248
Оба пола,Приморский край,2015,24494
Оба пола,Приморский край,2016,23553
Оба пола,Приморский край,2017,20973
Оба пола,Приморский край,2018,19995
Оба пола,Приморский край,2019,18235
Оба пола,Приморский край,2020,17975
Оба пола,Хабаровский край,2015,19085
Оба пола,Хабаровский край,2016,17846
Оба пола,Хабаровский край,2017,15987
Оба пола,Хабаровский край,2018,15107
Оба пола,Хабаровский край,2019,14432
Оба пола,Хабаровский край,2020,13810
Оба пола,Амурская область,2015,10778
Оба пола,Амурская область,2016,10350
Оба пола,Амурская область,2017,9459
Оба пола,Амурская область,2018,8812
Оба пола,Амурская область,2019,7941
Оба пола,Амурская область,2020,7800
Оба пола,Магаданская область,2015,1751
Оба пола,Магаданская область,2016,1628
Оба пола,Магаданская область,2017,1574
Оба пола,Магаданская область,2018,1427
Оба пола,Магаданская область,2019,1285
Оба пола,Магаданская область,2020,1310
Оба пола,Сахалинская область,2015,6675
Оба пола,Сахалинская область,2016,6935
Оба пола,Сахалинская область,2017,6343
Оба пола,Сахалинская область,2018,5982
Оба пола,Сахалинская область,2019,5802
Оба пола,Сахалинская область,2020,5589
Оба пола,Еврейская автономная область,2015,2343
Оба пола,Еврейская автономная область,2016,2207
Оба пола,Еврейская автономная область,2017,1912
Оба пола,Еврейская автономная область,2018,1877
Оба пола,Еврейская автономная область,2019,1683
Оба пола,Еврейская автономная область,2020,1626
Оба пола,Чукотский автономный округ,2015,685
Оба пола,Чукотский автономный округ,2016,679
Оба пола,Чукотский автономный округ,2017,649
Оба пола,Чукотский автономный округ,2018,625
Оба пола,Чукотский автономный округ,2019,525
Оба пола,Чукотский автономный округ,2020,546
