region,year,births
Приморский край,2016,23553
Приморский край,2017,20973
Приморский край,2018,19995
Приморский край,2019,18235
Приморский край,2020,17975
Хабаровский край,2015,19085
Хабаровский край,2016,17846
Хабаровский край,2017,15987
Хабаровский край,2018,15107
Хабаровский край,2019,14432
Хабаровский край,2020,13810
Амурская область,2015,10778
Амурская область,2016,10350
Амурская область,2017,9459
Амурская область,2018,8812
Амурская область,2019,7941
Амурская область,2020,7800
Магаданская область,2015,1751
Магаданская область,2016,1628
Магаданская область,2017,1574
Магаданская область,2018,1427
Магаданская область,2019,1285
Магаданская область,2020,1310
Сахалинская область,2015,6675
Сахалинская область,2016,6935
Сахалинская область,2017,6343
Сахалинская область,2018,5982
Сахалинская область,2019,5802
Сахалинская область,2020,5589
Еврейская автономная область,2015,2343
Еврейская автономная область,2016,2207
Еврейская автономная область,2017,1912
Еврейская автономная область,2018,1877
Еврейская автономная область,2019,1683
Еврейская автономная область,2020,1626
Чукотский автономный округ,2015,685
Чукотский автономный округ,2016,679
Чукотский автономный округ,2017,649
Чукотский автономный округ,2018,625
Чукотский автономный округ,2019,525
Чукотский автономный округ,2020,546
